1	"ANQR အကြောင်း"
2	"ANQR သည် client-first approach ပါရှိသော အခမဲ့ QR code generator တစ်ခုဖြစ်ပြီး ဒေသတွင်းတွင် QR code များကို generate လုပ်ပါ သို့မဟုတ် embed လုပ်ရန်အတွက် ကျွန်ုပ်တို့၏ API ကို အသုံးပြုပါ။"
3	"ANQR ဆိုတာ ဘာလဲ။"
4	"ANQR (anchor လို့ အသံထွက်ပါတယ်) သည် URL များ၊ စာသားများ၊ Wi-Fi အထောက်အထားများ၊ ဆက်သွယ်ရန်ကတ်များ၊ ပြက္ခဒိန်ပွဲများနှင့် အခြားအရာများအတွက် စကင်ဖတ်နိုင်သော ကုဒ်များကို ဖန်တီးပေးသည့် အခမဲ့ QR ကုဒ်ထုတ်လုပ်သည့် ကိရိယာတစ်ခုဖြစ်သည်။"
5	"၎င်းကို မှတ်ပုံတင်စရာမလိုဘဲ အစွမ်းထက်သော QR tools များကို လိုချင်သော လူပုဂ္ဂိုလ်များ၊ အသေးစားစီးပွားရေးလုပ်ငန်းများ၊ စျေးကွက်ရှာဖွေသူများနှင့် developer များအတွက် တည်ဆောက်ထားသည်။ client-first ဒီဇိုင်းကြောင့် QR code များကို သင့် browser တွင် default အနေဖြင့် ထုတ်လုပ်ပေးပြီး professional embedding နှင့် integration အတွက် optional server API ပါရှိသည်။"
6	"အဓိကအင်္ဂါရပ်များ"
7	"သင့်ဘရောက်ဆာတွင် QR ကုဒ်များကို ချက်ချင်းထုတ်လုပ်ပါ — အကောင့်မလိုအပ်ပါ။"
8	"အရောင်များ၊ မော်ဂျူးစတိုင်များ၊ ရှာဖွေကိရိယာပုံစံများကို စိတ်ကြိုက်ပြင်ဆင်ပြီး ရုပ်ပုံထပ်ဆင့်များကို ထည့်သွင်းပါ။"
9	"ဖော်မတ်များစွာဖြင့် ထုတ်ယူပါ- PNG၊ SVG၊ WebP နှင့် animated GIF။"
10	"အမှားပြင်ဆင်ခြင်းအဆင့်၊ QR ဗားရှင်း၊ ကုဒ်ဝှက်ခြင်းမုဒ်နှင့် မျက်နှာဖုံးရွေးချယ်မှုအတွက် အဆင့်မြင့်ထိန်းချုပ်မှုများ။"
11	"ကုဒ်များကို ပုံနှိပ်နှင့် မျက်နှာပြင်များတွင် ဖတ်ရှုနိုင်စေရန် စကင်ဖတ်ခြင်း-ဘေးကင်းရေး လမ်းညွှန်ချက်နှင့် တိုက်ရိုက်ကြိုတင်ကြည့်ရှုခြင်း။"
