1	"ANQR பற்றி"
2	"ANQR என்பது கிளையன்ட்-முதல் அணுகுமுறையுடன் கூடிய இலவச QR குறியீடு ஜெனரேட்டர் ஆகும் — உள்ளூரில் QR குறியீடுகளை உருவாக்கவும் அல்லது உட்பொதிப்பதற்கு எங்கள் API ஐப் பயன்படுத்தவும்."
3	"ANQR என்றால் என்ன?"
4	"ANQR (ஆங்கர் என்று உச்சரிக்கப்படுகிறது) என்பது உங்கள் சாதனத்தில் உள்ளூரில் இயங்கும் ஒரு இலவச QR குறியீடு ஜெனரேட்டராகும், மேலும் URLகள், உரை, Wi-Fi சான்றுகள், தொடர்பு அட்டைகள், காலண்டர் நிகழ்வுகள் மற்றும் பலவற்றிற்கான ஸ்கேன் செய்யக்கூடிய குறியீடுகளை உருவாக்குகிறது."
5	"கோப்புகளைப் பதிவேற்றாமலோ அல்லது பதிவு செய்யாமலோ சக்திவாய்ந்த QR கருவிகளை விரும்பும் தனிநபர்கள், சிறு வணிகங்கள், சந்தைப்படுத்துபவர்கள் மற்றும் டெவலப்பர்களுக்காக இது உருவாக்கப்பட்டது. உங்கள் தரவு உங்கள் சாதனத்திலேயே இருக்கும்."
6	"முக்கிய அம்சங்கள்"
7	"உங்கள் சாதனத்தில் உடனடியாக QR குறியீடுகளை உருவாக்குங்கள் — சர்வர் பதிவேற்றங்கள் இல்லை, கணக்கு தேவையில்லை."
8	"வண்ணங்கள், தொகுதி பாணிகள், கண்டுபிடிப்பான் வடிவங்களைத் தனிப்பயனாக்குங்கள் மற்றும் பட மேலடுக்குகளைச் சேர்க்கவும்."
9	"பல வடிவங்களில் ஏற்றுமதி செய்யுங்கள்: PNG, SVG, WebP மற்றும் அனிமேஷன் செய்யப்பட்ட GIF."
10	"பிழை திருத்தும் நிலை, QR பதிப்பு, குறியீட்டு முறை மற்றும் முகமூடி தேர்வுக்கான மேம்பட்ட கட்டுப்பாடுகள்."
11	"குறியீடுகளை அச்சிலும் திரைகளிலும் படிக்கக்கூடியதாக வைத்திருக்க உதவும் ஸ்கேன்-பாதுகாப்பு வழிகாட்டுதல் மற்றும் நேரடி முன்னோட்டம்."
12	"முழு அளவுரு ஆதரவுடன் தொழில்முறை உட்பொதிப்பதற்கான சர்வர்-பக்க API."
13	"ANQR எவ்வாறு செயல்படுகிறது"
14	"ANQR உங்கள் உலாவியில் இயங்குகிறது மற்றும் உங்கள் உள்ளீட்டை ரீட்–சாலமன் பிழை திருத்தத்துடன் ஒரு நிலையான QR மேட்ரிக்ஸில் குறியாக்குகிறது, பின்னர் அதை நீங்கள் தேர்வுசெய்த வடிவத்திற்கு ரெண்டர் செய்கிறது."
15	"எல்லா தலைமுறையும் உள்ளூரில் நடக்கும். நீங்கள் மேலடுக்குகள் அல்லது அனிமேஷன்களைச் சேர்க்கும்போது, ANQR ஸ்டைலிங்கை ஸ்கேன் நம்பகத்தன்மையுடன் சமநிலைப்படுத்துகிறது, இதனால் முடிவு ஸ்கேன் செய்யக்கூடியதாக இருக்கும்."
