1	"ANQR-നെക്കുറിച്ച്"
2	"ANQR ക്ലയന്റ്-ഫസ്റ്റ് സമീപനമുള്ള ഒരു സൗജന്യ QR കോഡ് ജനറേറ്ററാണ് — പ്രാദേശികമായി QR കോഡുകൾ സൃഷ്ടിക്കുക അല്ലെങ്കിൽ എംബെഡ്ഡിംഗിനായി ഞങ്ങളുടെ API ഉപയോഗിക്കുക."
3	"എന്താണ് ANQR?"
4	"ANQR (ആങ്കർ എന്ന് ഉച്ചരിക്കുന്നത്) നിങ്ങളുടെ ഉപകരണത്തിൽ ലോക്കലായി പ്രവർത്തിക്കുന്ന ഒരു സൗജന്യ QR കോഡ് ജനറേറ്ററാണ്, കൂടാതെ URL-കൾ, ടെക്സ്റ്റ്, Wi-Fi ക്രെഡൻഷ്യലുകൾ, കോൺടാക്റ്റ് കാർഡുകൾ, കലണ്ടർ ഇവന്റുകൾ എന്നിവയ്‌ക്കും അതിലേറെ കാര്യങ്ങൾക്കുമായി സ്‌കാൻ ചെയ്യാവുന്ന കോഡുകൾ സൃഷ്ടിക്കുന്നു."
5	"ഫയലുകൾ അപ്‌ലോഡ് ചെയ്യാതെയോ സൈൻ അപ്പ് ചെയ്യാതെയോ ശക്തമായ QR ഉപകരണങ്ങൾ ആഗ്രഹിക്കുന്ന വ്യക്തികൾ, ചെറുകിട ബിസിനസുകൾ, മാർക്കറ്റർമാർ, ഡെവലപ്പർമാർ എന്നിവർക്കായി ഇത് നിർമ്മിച്ചിരിക്കുന്നു. നിങ്ങളുടെ ഡാറ്റ നിങ്ങളുടെ ഉപകരണത്തിൽ തന്നെ തുടരും."
6	"പ്രധാന സവിശേഷതകൾ"
7	"നിങ്ങളുടെ ഉപകരണത്തിൽ തൽക്ഷണം QR കോഡുകൾ സൃഷ്ടിക്കുക — സെർവർ അപ്‌ലോഡുകളില്ല, അക്കൗണ്ടിന്റെ ആവശ്യമില്ല."
8	"നിറങ്ങൾ, മൊഡ്യൂൾ ശൈലികൾ, ഫൈൻഡർ പാറ്റേണുകൾ എന്നിവ ഇഷ്ടാനുസൃതമാക്കുക, ഇമേജ് ഓവർലേകൾ ചേർക്കുക."
9	"ഒന്നിലധികം ഫോർമാറ്റുകളിൽ കയറ്റുമതി ചെയ്യുക: PNG, SVG, WebP, ആനിമേറ്റഡ് GIF."
10	"പിശക് തിരുത്തൽ നില, QR പതിപ്പ്, എൻകോഡിംഗ് മോഡ്, മാസ്ക് തിരഞ്ഞെടുക്കൽ എന്നിവയ്ക്കുള്ള വിപുലമായ നിയന്ത്രണങ്ങൾ."
11	"പ്രിന്റ്, സ്‌ക്രീനുകളിൽ കോഡുകൾ വായിക്കാൻ കഴിയുന്ന തരത്തിൽ നിലനിർത്താൻ സഹായിക്കുന്നതിന് സ്കാൻ-സുരക്ഷാ മാർഗ്ഗനിർദ്ദേശവും തത്സമയ പ്രിവ്യൂവും."
12	"പൂർണ്ണ പാരാമീറ്റർ പിന്തുണയോടെ പ്രൊഫഷണൽ എംബെഡ്ഡിംഗിനായുള്ള സെർവർ-സൈഡ് API."
13	"എങ്ങനെയാണ് ANQR പ്രവർത്തിക്കുന്നത്"
14	"ANQR നിങ്ങളുടെ ബ്രൗസറിൽ പ്രവർത്തിക്കുകയും റീഡ്–സോളമൻ പിശക് തിരുത്തലുള്ള ഒരു സ്റ്റാൻഡേർഡ് QR മാട്രിക്സിലേക്ക് നിങ്ങളുടെ ഇൻപുട്ട് എൻകോഡ് ചെയ്യുകയും തുടർന്ന് നിങ്ങൾ തിരഞ്ഞെടുക്കുന്ന ഫോർമാറ്റിലേക്ക് അത് റെൻഡർ ചെയ്യുകയും ചെയ്യുന്നു."
15	"എല്ലാ തലമുറയും പ്രാദേശികമായി സംഭവിക്കുന്നു. നിങ്ങൾ ഓവർലേകളോ ആനിമേഷനുകളോ ചേർക്കുമ്പോൾ, ANQR സ്കാൻ വിശ്വാസ്യതയുമായി സ്റ്റൈലിംഗ് സന്തുലിതമാക്കുന്നു, അതിനാൽ ഫലം സ്കാൻ ചെയ്യാൻ കഴിയുന്നതായി തുടരും."
16	"ANQR സ്റ്റാറ്റിക് കോഡുകളിലാണ് ശ്രദ്ധ കേന്ദ്രീകരിക്കുന്നത് (ഡാറ്റ QR-നുള്ളിലാണ്). നിങ്ങൾക്ക് ഒരു ഡൈനാമിക് കോഡ് (എഡിറ്റ് ചെയ്യാവുന്ന ഡെസ്റ്റിനേഷൻ) ആവശ്യമുണ്ടെങ്കിൽ, നിങ്ങൾക്ക് നിങ്ങളുടെ സ്വന്തം റീഡയറക്ട് URL അല്ലെങ്കിൽ ഷോർട്ട് ലിങ്ക് എൻകോഡ് ചെയ്യാൻ കഴിയും."
17	"ആരാണ് ANQR പ്രവർത്തിപ്പിക്കുന്നത്?"
18	"ഒരു സ്വതന്ത്ര വെബ് ഉപകരണമായിട്ടാണ് ANQR പ്രവർത്തിക്കുന്നത്. ചോദ്യങ്ങൾ, പിന്തുണ അല്ലെങ്കിൽ ബിസിനസ് അന്വേഷണങ്ങൾക്ക്, ദയവായി കോൺടാക്റ്റ് പേജ് അല്ലെങ്കിൽ ഇമെയിൽ ഉപയോഗിക്കുക"
19	"."
