1	"ANQR గురించి"
2	"ANQR అనేది క్లయింట్-ఫస్ట్ విధానంతో ఉచిత QR కోడ్ జనరేటర్ — స్థానికంగా QR కోడ్‌లను రూపొందించండి లేదా ఎంబెడ్డింగ్ కోసం మా APIని ఉపయోగించండి."
3	"ANQR అంటే ఏమిటి?"
4	"ANQR (యాంకర్ అని ఉచ్ఛరిస్తారు) అనేది మీ పరికరంలో స్థానికంగా పనిచేసే ఉచిత QR కోడ్ జనరేటర్ మరియు URLలు, టెక్స్ట్, Wi-Fi ఆధారాలు, కాంటాక్ట్ కార్డ్‌లు, క్యాలెండర్ ఈవెంట్‌లు మరియు మరిన్నింటి కోసం స్కాన్ చేయగల కోడ్‌లను సృష్టిస్తుంది."
5	"ఇది వ్యక్తులు, చిన్న వ్యాపారాలు, మార్కెటర్లు మరియు డెవలపర్‌ల కోసం రూపొందించబడింది, వారు ఫైల్‌లను అప్‌లోడ్ చేయకుండా లేదా సైన్ అప్ చేయకుండా శక్తివంతమైన QR సాధనాలను కోరుకుంటారు. మీ డేటా మీ పరికరంలోనే ఉంటుంది."
6	"ముఖ్య లక్షణాలు"
7	"మీ పరికరంలో తక్షణమే QR కోడ్‌లను రూపొందించండి — సర్వర్ అప్‌లోడ్‌లు లేవు, ఖాతా అవసరం లేదు."
8	"రంగులు, మాడ్యూల్ శైలులు, ఫైండర్ నమూనాలను అనుకూలీకరించండి మరియు చిత్ర అతివ్యాప్తులను జోడించండి."
9	"బహుళ ఫార్మాట్లలో ఎగుమతి చేయండి: PNG, SVG, WebP మరియు యానిమేటెడ్ GIF."
10	"లోపం దిద్దుబాటు స్థాయి, QR వెర్షన్, ఎన్‌కోడింగ్ మోడ్ మరియు మాస్క్ ఎంపిక కోసం అధునాతన నియంత్రణలు."
11	"ప్రింట్‌లో మరియు స్క్రీన్‌లలో కోడ్‌లను చదవగలిగేలా ఉంచడంలో సహాయపడటానికి స్కాన్-భద్రతా మార్గదర్శకత్వం మరియు ప్రత్యక్ష ప్రివ్యూ."
12	"పూర్తి పారామీటర్ మద్దతుతో వృత్తిపరమైన ఎంబెడ్డింగ్ కోసం సర్వర్-సైడ్ API."
13	"ANQR ఎలా పనిచేస్తుంది"
14	"ANQR మీ బ్రౌజర్‌లో నడుస్తుంది మరియు మీ ఇన్‌పుట్‌ను రీడ్–సోలమన్ ఎర్రర్ కరెక్షన్‌తో ప్రామాణిక QR మ్యాట్రిక్స్‌లోకి ఎన్‌కోడ్ చేస్తుంది, ఆపై దానిని మీరు ఎంచుకున్న ఫార్మాట్‌కు రెండర్ చేస్తుంది."
15	"అన్ని జనరేషన్‌లు స్థానికంగా జరుగుతాయి. మీరు ఓవర్‌లేలు లేదా యానిమేషన్‌లను జోడించినప్పుడు, ANQR స్టైలింగ్‌ను స్కాన్ విశ్వసనీయతతో సమతుల్యం చేస్తుంది, తద్వారా ఫలితం స్కాన్ చేయగలిగేలా ఉంటుంది."
16	"ANQR స్టాటిక్ కోడ్‌లపై దృష్టి పెడుతుంది (డేటా QR లోపల ఉంటుంది). మీకు డైనమిక్ కోడ్ (సవరించదగిన గమ్యస్థానం) అవసరమైతే, మీరు మీ స్వంత దారిమార్పు URL లేదా చిన్న లింక్‌ను ఎన్‌కోడ్ చేయవచ్చు."
17	"ANQR ను ఎవరు నిర్వహిస్తారు?"
18	"ANQR ఒక స్వతంత్ర వెబ్ సాధనంగా నిర్వహించబడుతుంది. ప్రశ్నలు, మద్దతు లేదా వ్యాపార విచారణల కోసం, దయచేసి సంప్రదింపు పేజీ లేదా ఇమెయిల్‌ను ఉపయోగించండి"
19	"."
20	"ప్రకటనలు మరియు మనం ఎలా స్వేచ్ఛగా ఉంటాము"
21	"ANQR ఉపయోగించడానికి ఉచితం మరియు ప్రకటనల ద్వారా మద్దతు ఇవ్వబడుతుంది. మేము Google AdSense మరియు/లేదా ఇతర ప్రకటన భాగస్వాముల ద్వారా ప్రకటనలను చూపవచ్చు."
22	"మీ ఆసక్తులు మరియు బ్రౌజింగ్ కార్యాచరణ ఆధారంగా ప్రకటనలను వ్యక్తిగతీకరించడానికి ప్రకటన ప్రదాతలు కుక్కీలు లేదా ఇలాంటి సాంకేతికతలను ఉపయోగించవచ్చు. మీరు మీ పరికర సెట్టింగ్‌లలో మరియు Google ప్రకటన సెట్టింగ్‌ల ద్వారా ప్రకటన ప్రాధాన్యతలను నిర్వహించవచ్చు మరియు మా గోప్యతా విధానంలో మరింత తెలుసుకోండి."
23	"మీరు QR కోడ్‌లలోకి ఎన్‌కోడ్ చేసిన కంటెంట్‌ను మేము విక్రయించము. ప్రాజెక్ట్‌ను అమలు చేయడానికి మరియు మెరుగుపరచడానికి అయ్యే ఖర్చును కవర్ చేయడానికి ప్రకటనలు సహాయపడతాయి."
24	"ఓపెన్ స్టాండర్డ్స్"
25	"ANQR ISO/IEC 18004 ప్రమాణం ఆధారంగా QR కోడ్‌లను ఉత్పత్తి చేస్తుంది మరియు స్కానర్లు, కెమెరాలు మరియు ప్రింట్ వర్క్‌ఫ్లోలలో విస్తృత అనుకూలతను లక్ష్యంగా పెట్టుకుంది."
26	"ట్రేడ్‌మార్క్ నోటీసు"
27	"QR కోడ్® అనేది DENSO WAVE INCORPORATED యొక్క రిజిస్టర్డ్ ట్రేడ్‌మార్క్. ANQR అనేది DENSO WAVE INCORPORATEDతో అనుబంధించబడలేదు, ఆమోదించబడలేదు లేదా స్పాన్సర్ చేయబడలేదు."
28	"అభిప్రాయం మరియు సహకారాలు"
29	"మేము అభిప్రాయాన్ని, బగ్ నివేదికలను మరియు ఫీచర్ సూచనలను స్వాగతిస్తాము. దయచేసి ఇమెయిల్ లేదా కాంటాక్ట్ పేజీ ద్వారా మమ్మల్ని సంప్రదించండి — ప్రతిస్పందన సమయాలు మారవచ్చు, అయితే మేము ప్రతి సందేశాన్ని చదువుతాము."
30	"మమ్మల్ని సంప్రదించండి"
31	"మేము అభిప్రాయాన్ని, బగ్ నివేదికలను, ఫీచర్ అభ్యర్థనలను మరియు సాధారణ విచారణలను స్వాగతిస్తాము."
32	"మమ్మల్ని ఎలా చేరుకోవాలి"
33	"మీ అవసరాలను బట్టి మమ్మల్ని సంప్రదించడానికి మేము అనేక మార్గాలను అందిస్తున్నాము. మేము ప్రతి సందేశాన్ని చదువుతాము, అయితే ప్రతిస్పందన సమయాలు వాల్యూమ్ మరియు విచారణ రకం ఆధారంగా మారవచ్చు."
34	"ఇమెయిల్"
35	"అన్ని విచారణలకు: ${CONTACT_EMAIL}"
36	"మమ్మల్ని సంప్రదించడానికి ఇది అత్యంత విశ్వసనీయ మార్గం మరియు వివరణాత్మక ప్రశ్నలు, వ్యాపార విచారణలు లేదా ఏవైనా ఇతర విచారణల కోసం సిఫార్సు చేయబడింది."
37	"సంప్రదింపు ఫారమ్"
38	"మాకు నేరుగా సందేశం పంపడానికి క్రింది ఫారమ్‌ను ఉపయోగించండి. ఫారమ్ విజయవంతంగా సమర్పించకపోతే, దయచేసి బదులుగా ఇమెయిల్‌ను ఉపయోగించండి."
39	"విచారణ రకాలు"
40	"సాధారణ ప్రశ్నలు: ANQR, ఫీచర్ వివరణలు లేదా సాధారణ అభిప్రాయం ఎలా ఉపయోగించాలో గురించి ప్రశ్నలు."
41	"బగ్ నివేదికలు: దయచేసి మీ బ్రౌజర్, ఆపరేటింగ్ సిస్టమ్, పునరుత్పత్తి దశలు మరియు మీరు చూసే ఏవైనా దోష సందేశాలను చేర్చండి."
42	"ఫీచర్ అభ్యర్థనలు: కొత్త లక్షణాలు లేదా మెరుగుదలల కోసం సూచనలు. అమలు చేస్తామని హామీ ఇవ్వలేకపోయినా మేము అన్ని అభ్యర్థనలను పరిశీలిస్తాము."
43	"వ్యాపార విచారణలు: భాగస్వామ్య అవకాశాలు, లైసెన్సింగ్ ప్రశ్నలు లేదా వాణిజ్య వినియోగ విచారణలు."
44	"గోప్యతా అభ్యర్థనలు: GDPR, CCPA లేదా ఇతర గోప్యతా చట్టాల ప్రకారం మీ గోప్యతా హక్కులను వినియోగించుకోవడానికి అభ్యర్థనలు (గోప్యతా విధానాన్ని చూడండి)."
45	"DMCA/కాపీరైట్: తొలగింపు నోటీసు అవసరాల కోసం దిగువన ఉన్న DMCA విభాగాన్ని చూడండి."
46	"ప్రతిస్పందన సమయాలు"
47	"మేము 5-7 పని దినాలలోపు విచారణలకు ప్రతిస్పందించాలని లక్ష్యంగా పెట్టుకున్నాము. చట్టం ప్రకారం అవసరమైన 30 రోజుల్లోపు గోప్యతా సంబంధిత అభ్యర్థనలను పరిష్కరించడం జరుగుతుంది."
48	"రద్దీ సమయాల్లో, ప్రతిస్పందన సమయాలు ఎక్కువగా ఉండవచ్చు. అత్యవసర విషయాల కోసం, దయచేసి మీ సబ్జెక్ట్ లైన్‌లో అత్యవసరం అని సూచించండి."
49	"మమ్మల్ని సంప్రదించే ముందు"
50	"ANQR ఫీచర్‌లను ఎలా ఉపయోగించాలి అనే దాని గురించిన సాధారణ ప్రశ్నలకు సమాధానాల కోసం దయచేసి మా డాక్యుమెంటేషన్ పేజీని తనిఖీ చేయండి. QR కోడ్ జనరేషన్, స్టైలింగ్ మరియు ఎగుమతి ఎంపికల గురించి అనేక ప్రశ్నలు అక్కడ కవర్ చేయబడ్డాయి."
51	"DMCA కాపీరైట్ నోటీసులు"
52	"ANQRలో అందుబాటులో ఉన్న కంటెంట్ మీ కాపీరైట్‌ను ఉల్లంఘిస్తుందని మీరు విశ్వసిస్తే, మీరు డిజిటల్ మిలీనియం కాపీరైట్ చట్టం (DMCA) తొలగింపు నోటీసును సమర్పించవచ్చు. చెల్లుబాటు కావాలంటే, మీ నోటీసులో ఇవి ఉండాలి:"
53	"కాపీరైట్ యజమాని లేదా అధీకృత ఏజెంట్ యొక్క భౌతిక లేదా ఎలక్ట్రానిక్ సంతకం."
54	"ఉల్లంఘించబడిందని చెప్పబడిన కాపీరైట్ చేయబడిన పని యొక్క గుర్తింపు."
55	"ఉల్లంఘిస్తున్నట్లు చెప్పబడుతున్న విషయాన్ని గుర్తించడానికి తగినంత సమాచారంతో గుర్తించడం."
56	"మీ సంప్రదింపు సమాచారం (చిరునామా, టెలిఫోన్ నంబర్ మరియు ఇమెయిల్ చిరునామా)."
57	"కాపీరైట్ యజమాని ద్వారా పదార్థం యొక్క ఉపయోగం అధికారం పొందలేదని మీకు మంచి నమ్మకం ఉందని ఒక ప్రకటన."
58	"మీ నోటీసులోని సమాచారం ఖచ్చితమైనదని మరియు మీరు కాపీరైట్ యజమాని అని లేదా వారి తరపున వ్యవహరించడానికి అధికారం కలిగి ఉన్నారని, తప్పుడు సాక్ష్యం యొక్క జరిమానా కింద ఒక ప్రకటన."
59	"DMCA కాంటాక్ట్"
60	"DMCA నోటీసులను దీనికి పంపండి: ${CONTACT_EMAIL}"
61	"దయచేసి సబ్జెక్ట్ లైన్‌లో DMCA నోటీసుని చేర్చండి. వర్తించే చట్టానికి అనుగుణంగా చెల్లుబాటు అయ్యే నోటీసులకు మేము ప్రతిస్పందిస్తాము. ANQR వినియోగదారుల పరికరాల్లో స్థానికంగా QR కోడ్‌లను ఉత్పత్తి చేస్తుందని మరియు వినియోగదారు రూపొందించిన కంటెంట్‌ను హోస్ట్ చేయదని గమనించండి."
62	"ANQR యూజర్ గైడ్"
63	"QR కోడ్‌లను సృష్టించడానికి ANQRని ఉపయోగించడానికి పూర్తి గైడ్."
64	"ప్రారంభించడం"
65	"ANQR అనేది మీ కంప్యూటర్, ఫోన్ లేదా టాబ్లెట్ - మీ పరికరంలో పూర్తిగా పనిచేసే QR కోడ్ జనరేటర్. ఖాతా అవసరం లేదు, సర్వర్లు ఇందులో ఉండవు మరియు మీ డేటా ప్రైవేట్‌గా ఉంటుంది."
66	"ఇంటర్‌ఫేస్‌లో మూడు ఇంటర్‌ఫేస్ స్థాయిలు ఉన్నాయి: బేసిక్, అడ్వాన్స్‌డ్ మరియు ప్రొఫెషనల్. హెడర్‌లోని ట్యాబ్‌లను ఉపయోగించి మీ స్థాయిని ఎంచుకోండి. ప్రతి స్థాయి ఇంటర్‌ఫేస్ మీకు అవసరమైన దానిపై దృష్టి సారించేటప్పుడు అదనపు లక్షణాలను అన్‌లాక్ చేస్తుంది."
67	"ప్రాథమిక: సాదా టెక్స్ట్/URL కంటెంట్ మరియు ఇమేజ్ ఓవర్‌లేతో సరళమైన QR కోడ్ సృష్టి."
68	"అధునాతన: QR ఎన్‌కోడింగ్ ఎంపికలు, రెండరింగ్ శైలులు, యానిమేషన్, అవుట్‌పుట్ ఫార్మాట్‌లు, విస్తరించిన కంటెంట్ రకాలు మరియు ఓవర్‌లే అనుకూలీకరణ."
