1	"ANQR ಬಗ್ಗೆ"
2	"ANQR ಎಂಬುದು ಕ್ಲೈಂಟ್-ಫರ್ಸ್ಟ್ ವಿಧಾನದೊಂದಿಗೆ ಉಚಿತ QR ಕೋಡ್ ಜನರೇಟರ್ ಆಗಿದೆ — ಸ್ಥಳೀಯವಾಗಿ QR ಕೋಡ್‌ಗಳನ್ನು ರಚಿಸಿ ಅಥವಾ ಎಂಬೆಡಿಂಗ್‌ಗಾಗಿ ನಮ್ಮ API ಬಳಸಿ."
3	"ANQR ಎಂದರೇನು?"
4	"ANQR (ಆಂಕರ್ ಎಂದು ಉಚ್ಚರಿಸಲಾಗುತ್ತದೆ) ನಿಮ್ಮ ಸಾಧನದಲ್ಲಿ ಸ್ಥಳೀಯವಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಮತ್ತು URL ಗಳು, ಪಠ್ಯ, ವೈ-ಫೈ ರುಜುವಾತುಗಳು, ಸಂಪರ್ಕ ಕಾರ್ಡ್‌ಗಳು, ಕ್ಯಾಲೆಂಡರ್ ಈವೆಂಟ್‌ಗಳು ಮತ್ತು ಹೆಚ್ಚಿನವುಗಳಿಗಾಗಿ ಸ್ಕ್ಯಾನ್ ಮಾಡಬಹುದಾದ ಕೋಡ್‌ಗಳನ್ನು ರಚಿಸುವ ಉಚಿತ QR ಕೋಡ್ ಜನರೇಟರ್ ಆಗಿದೆ."
5	"ಫೈಲ್‌ಗಳನ್ನು ಅಪ್‌ಲೋಡ್ ಮಾಡದೆ ಅಥವಾ ಸೈನ್ ಅಪ್ ಮಾಡದೆಯೇ ಶಕ್ತಿಶಾಲಿ QR ಪರಿಕರಗಳನ್ನು ಬಯಸುವ ವ್ಯಕ್ತಿಗಳು, ಸಣ್ಣ ವ್ಯವಹಾರಗಳು, ಮಾರಾಟಗಾರರು ಮತ್ತು ಡೆವಲಪರ್‌ಗಳಿಗಾಗಿ ಇದನ್ನು ನಿರ್ಮಿಸಲಾಗಿದೆ. ನಿಮ್ಮ ಡೇಟಾ ನಿಮ್ಮ ಸಾಧನದಲ್ಲಿ ಉಳಿಯುತ್ತದೆ."
6	"ಪ್ರಮುಖ ಲಕ್ಷಣಗಳು"
7	"ನಿಮ್ಮ ಸಾಧನದಲ್ಲಿ ತಕ್ಷಣವೇ QR ಕೋಡ್‌ಗಳನ್ನು ರಚಿಸಿ — ಸರ್ವರ್ ಅಪ್‌ಲೋಡ್‌ಗಳಿಲ್ಲ, ಖಾತೆಯ ಅಗತ್ಯವಿಲ್ಲ."
8	"ಬಣ್ಣಗಳು, ಮಾಡ್ಯೂಲ್ ಶೈಲಿಗಳು, ಫೈಂಡರ್ ಮಾದರಿಗಳನ್ನು ಕಸ್ಟಮೈಸ್ ಮಾಡಿ ಮತ್ತು ಇಮೇಜ್ ಓವರ್‌ಲೇಗಳನ್ನು ಸೇರಿಸಿ."
9	"ಬಹು ಸ್ವರೂಪಗಳಲ್ಲಿ ರಫ್ತು ಮಾಡಿ: PNG, SVG, WebP, ಮತ್ತು ಅನಿಮೇಟೆಡ್ GIF."
10	"ದೋಷ ತಿದ್ದುಪಡಿ ಮಟ್ಟ, QR ಆವೃತ್ತಿ, ಎನ್‌ಕೋಡಿಂಗ್ ಮೋಡ್ ಮತ್ತು ಮುಖವಾಡ ಆಯ್ಕೆಗಾಗಿ ಸುಧಾರಿತ ನಿಯಂತ್ರಣಗಳು."
11	"ಮುದ್ರಣ ಮತ್ತು ಪರದೆಗಳಲ್ಲಿ ಕೋಡ್‌ಗಳನ್ನು ಓದಲು ಸಾಧ್ಯವಾಗುವಂತೆ ಇರಿಸಿಕೊಳ್ಳಲು ಸ್ಕ್ಯಾನ್-ಸುರಕ್ಷತಾ ಮಾರ್ಗದರ್ಶನ ಮತ್ತು ಲೈವ್ ಪೂರ್ವವೀಕ್ಷಣೆ."
