1	"ANQR को बारेमा"
2	"ANQR एउटा नि:शुल्क QR कोड जेनेरेटर हो जसमा क्लाइन्ट-फर्स्ट दृष्टिकोण छ — स्थानीय रूपमा QR कोडहरू उत्पन्न गर्नुहोस् वा इम्बेडिङको लागि हाम्रो API प्रयोग गर्नुहोस्।"
3	"ANQR भनेको के हो?"
4	"ANQR (उच्चारण anchor) एक नि:शुल्क QR कोड जेनेरेटर हो जसले URL, पाठ, Wi-Fi प्रमाणहरू, सम्पर्क कार्डहरू, क्यालेन्डर कार्यक्रमहरू, र थपका लागि स्क्यान गर्न मिल्ने कोडहरू सिर्जना गर्दछ।"
5	"यो साइन अप नगरी शक्तिशाली QR उपकरणहरू चाहने व्यक्तिहरू, साना व्यवसायहरू, मार्केटरहरू र विकासकर्ताहरूका लागि बनाइएको हो। क्लाइन्ट-फर्स्ट डिजाइनको अर्थ QR कोडहरू तपाईंको ब्राउजरमा पूर्वनिर्धारित रूपमा स्थानीय रूपमा उत्पन्न हुन्छन्, व्यावसायिक इम्बेडिङ र एकीकरणको लागि वैकल्पिक सर्भर API सहित।"
6	"मुख्य विशेषताहरू"
7	"तपाईंको ब्राउजरमा तुरुन्तै QR कोडहरू उत्पन्न गर्नुहोस् — कुनै खाता आवश्यक पर्दैन।"
8	"रङहरू, मोड्युल शैलीहरू, खोजकर्ता ढाँचाहरू अनुकूलित गर्नुहोस्, र छवि ओभरलेहरू थप्नुहोस्।"
9	"बहु ढाँचाहरूमा निर्यात गर्नुहोस्: PNG, SVG, WebP, र एनिमेटेड GIF।"
10	"त्रुटि सुधार स्तर, QR संस्करण, एन्कोडिङ मोड, र मास्क चयनको लागि उन्नत नियन्त्रणहरू।"
11	"प्रिन्ट र स्क्रिनहरूमा कोडहरू पढ्न योग्य राख्न मद्दत गर्न स्क्यान-सुरक्षा मार्गदर्शन र प्रत्यक्ष पूर्वावलोकन।"
12	"पूर्ण प्यारामिटर समर्थनको साथ व्यावसायिक इम्बेडिङको लागि सर्भर-साइड API।"
13	"ANQR ले कसरी काम गर्छ"
14	"ANQR तपाईंको ब्राउजरमा चल्छ र तपाईंको इनपुटलाई रीड-सोलोमन त्रुटि सुधारको साथ मानक QR म्याट्रिक्समा एन्कोड गर्दछ, त्यसपछि यसलाई तपाईंले रोज्नुभएको ढाँचामा रेन्डर गर्दछ।"
15	"जब तपाईंले ओभरले वा एनिमेसनहरू थप्नुहुन्छ, ANQR ले स्टाइलिङलाई स्क्यान विश्वसनीयतासँग सन्तुलनमा राख्छ ताकि परिणाम स्क्यानयोग्य रहोस्।"
